"tipo","codigo","descricao","credito","parcela_01_12","demais_parcelas","parcela_pf","parcela_pj","redutor","prazo","taxa_adm","adesao","fundo_reserva","seguro","reajuste","sorteio","lance_fixo","lance_embutido","grupo","status","pontos_livelo","imagem"
"Auto","AFCA04","AUTOMOVEL FLEX CREDITO ALTO AFCA04","72500",,,"855,43","855,43","20","80","16",,"2","Não possui","IPCA","1 por mês","Não possui","15%","997","Em formação","15398","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png"
"Auto","AFCA05","AUTOMOVEL FLEX CREDITO ALTO AFCA05","77500",,,"914,43","914,43","20","80","16",,"2","Não possui","IPCA","1 por mês","Não possui","15%","997","Em formação","16460","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png"
"Auto","AFCA06","AUTOMOVEL FLEX CREDITO ALTO AFCA06","82500",,,"973,42","973,42","20","80","16",,"2","Não possui","IPCA","1 por mês","Não possui","15%","997","Em formação","17522","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png"
"Auto","AFCA07","AUTOMOVEL FLEX CREDITO ALTO AFCA07","87500",,,"1032,42","1032,42","20","80","16",,"2","Não possui","IPCA","1 por mês","Não possui","15%","997","Em formação","18584","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png"
"Auto","AFCA08","AUTOMOVEL FLEX CREDITO ALTO AFCA08","92500",,,"1091,41","1091,41","20","80","16",,"2","Não possui","IPCA","1 por mês","Não possui","15%","997","Em formação","19645","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png"
"Auto","AFCA09","AUTOMOVEL FLEX CREDITO ALTO AFCA09","97500",,,"1150,41","1150,41","20","80","16",,"2","Não possui","IPCA","1 por mês","Não possui","15%","997","Em formação","20707","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png"
"Auto","AFCA010","AUTOMOVEL FLEX CREDITO ALTO AFCA10","102500",,,"1209,4","1209,4","20","80","16",,"2","Não possui","IPCA","1 por mês","Não possui","15%","997","Em formação","21769","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png"
"Auto","AFCA11","AUTOMOVEL FLEX CREDITO ALTO AFCA11","107500",,,"1268,4","1268,4","20","80","16",,"2","Não possui","IPCA","1 por mês","Não possui","15%","997","Em formação","22831","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png"
"Auto","AFCA12","AUTOMOVEL FLEX CREDITO ALTO AFCA12","112500",,,"1327,39","1327,39","20","80","16",,"2","Não possui","IPCA","1 por mês","Não possui","15%","997","Em formação","23893","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png"
"Auto","AFCA13","AUTOMOVEL FLEX CREDITO ALTO AFCA13","117500",,,"1386,39","1386,39","20","80","16",,"2","Não possui","IPCA","1 por mês","Não possui","15%","997","Em formação","24955","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png"
"Auto","AFCA14","AUTOMOVEL FLEX CREDITO ALTO AFCA14","122500",,,"1445,38","1445,38","20","80","16",,"2","Não possui","IPCA","1 por mês","Não possui","15%","997","Em formação","26017","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png"
"Auto","AFCA15","AUTOMOVEL FLEX CREDITO ALTO AFCA15","125000",,,"1474,88","1474,88","20","80","16",,"2","Não possui","IPCA","1 por mês","Não possui","15%","997","Em formação","26548","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png"
"Auto","AFCM01","AUTOMOVEL FLEX CREDITO MEDIO AFCM01","34000",,,"453,32","453,32","20","72","18",,"2","Não possui","IPCA","1 por mês","Não possui","15%","995","Em formação","8160","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png"
"Auto","AFCM02","AUTOMOVEL FLEX CREDITO MEDIO AFCM02","35000",,,"466,66","466,66","20","72","18",,"2","Não possui","IPCA","1 por mês","Não possui","15%","995","Em formação","8400","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png"
"Auto","AFCM03","AUTOMOVEL FLEX CREDITO MEDIO AFCM03","37500",,,"499,99","499,99","20","72","18",,"2","Não possui","IPCA","1 por mês","Não possui","15%","995","Em formação","9000","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png"
